Code	Description	Four_Digit_Code	Four_Digit_Description	Two_Digit_Code	Two_Digit_Description	Definition
840199	Mineral Exploration not elsewhere classified	8401	Mineral Exploration	84	Mineral Resources (excl. Energy Resources)	Mineral Resources (excl. Energy Resources)/Mineral Exploration/Mineral Exploration not elsewhere classified
840201	Mining and Extraction of Aluminium Ores	8402	Primary Mining and Extraction of Mineral Resources	84	Mineral Resources (excl. Energy Resources)	Mineral Resources (excl. Energy Resources)/Primary Mining and Extraction of Mineral Resources/Mining and Extraction of Aluminium Ores
840202	Mining and Extraction of Copper Ores	8402	Primary Mining and Extraction of Mineral Resources	84	Mineral Resources (excl. Energy Resources)	Mineral Resources (excl. Energy Resources)/Primary Mining and Extraction of Mineral Resources/Mining and Extraction of Copper Ores
840203	Mining and Extraction of Diamonds	8402	Primary Mining and Extraction of Mineral Resources	84	Mineral Resources (excl. Energy Resources)	Mineral Resources (excl. Energy Resources)/Primary Mining and Extraction of Mineral Resources/Mining and Extraction of Diamonds
840204	Mining and Extraction of Iron Ores	8402	Primary Mining and Extraction of Mineral Resources	84	Mineral Resources (excl. Energy Resources)	Mineral Resources (excl. Energy Resources)/Primary Mining and Extraction of Mineral Resources/Mining and Extraction of Iron Ores
840205	Mining and Extraction of Precious (Noble) Metal Ores	8402	Primary Mining and Extraction of Mineral Resources	84	Mineral Resources (excl. Energy Resources)	Mineral Resources (excl. Energy Resources)/Primary Mining and Extraction of Mineral Resources/Mining and Extraction of Precious (Noble) Metal Ores
840206	Mining and Extraction of Stone and Clay	8402	Primary Mining and Extraction of Mineral Resources	84	Mineral Resources (excl. Energy Resources)	Mineral Resources (excl. Energy Resources)/Primary Mining and Extraction of Mineral Resources/Mining and Extraction of Stone and Clay
840207	Mining and Extraction of Titanium Minerals, Zircon, and Rare Earth Metal Ores (e.g. Monazite)	8402	Primary Mining and Extraction of Mineral Resources	84	Mineral Resources (excl. Energy Resources)	Mineral Resources (excl. Energy Resources)/Primary Mining and Extraction of Mineral Resources/Mining and Extraction of Titanium Minerals, Zircon, and Rare Earth Metal Ores (e.g. Monazite)
840208	Mining and Extraction of Zinc Ores	8402	Primary Mining and Extraction of Mineral Resources	84	Mineral Resources (excl. Energy Resources)	Mineral Resources (excl. Energy Resources)/Primary Mining and Extraction of Mineral Resources/Mining and Extraction of Zinc Ores
840299	Primary Mining and Extraction of Mineral Resources not elsewhere classified	8402	Primary Mining and Extraction of Mineral Resources	84	Mineral Resources (excl. Energy Resources)	Mineral Resources (excl. Energy Resources)/Primary Mining and Extraction of Mineral Resources/Primary Mining and Extraction of Mineral Resources not elsewhere classified
840301	Alumina Production	8403	First Stage Treatment of Ores and Minerals	84	Mineral Resources (excl. Energy Resources)	Mineral Resources (excl. Energy Resources)/First Stage Treatment of Ores and Minerals/Alumina Production
840302	Beneficiation of Bauxite and Aluminium Ores (excl. Alumina Production)	8403	First Stage Treatment of Ores and Minerals	84	Mineral Resources (excl. Energy Resources)	Mineral Resources (excl. Energy Resources)/First Stage Treatment of Ores and Minerals/Beneficiation of Bauxite and Aluminium Ores (excl. Alumina Production)
840303	Beneficiation or Dressing of Iron Ores	8403	First Stage Treatment of Ores and Minerals	84	Mineral Resources (excl. Energy Resources)	Mineral Resources (excl. Energy Resources)/First Stage Treatment of Ores and Minerals/Beneficiation or Dressing of Iron Ores
840304	Beneficiation or Dressing of Non-Metallic Minerals (incl. Diamonds)	8403	First Stage Treatment of Ores and Minerals	84	Mineral Resources (excl. Energy Resources)	Mineral Resources (excl. Energy Resources)/First Stage Treatment of Ores and Minerals/Beneficiation or Dressing of Non-Metallic Minerals (incl. Diamonds)
840305	Concentrating Processes of Base Metal Ores (excl. Aluminium and Iron Ores)	8403	First Stage Treatment of Ores and Minerals	84	Mineral Resources (excl. Energy Resources)	Mineral Resources (excl. Energy Resources)/First Stage Treatment of Ores and Minerals/Concentrating Processes of Base Metal Ores (excl. Aluminium and Iron Ores)
840306	Production of Unrefined Precious Metal Ingots and Concentrates	8403	First Stage Treatment of Ores and Minerals	84	Mineral Resources (excl. Energy Resources)	Mineral Resources (excl. Energy Resources)/First Stage Treatment of Ores and Minerals/Production of Unrefined Precious Metal Ingots and Concentrates
840399	First Stage Treatment of Ores and Minerals not elsewhere classified	8403	First Stage Treatment of Ores and Minerals	84	Mineral Resources (excl. Energy Resources)	Mineral Resources (excl. Energy Resources)/First Stage Treatment of Ores and Minerals/First Stage Treatment of Ores and Minerals not elsewhere classified
