Version	Code	Description	Appropriation	AppropriationPeriod	Vote	Scope	EstimateType	StartYear	EndYear	Amount
1.0	00009652-2021-E	Catalyst Fund Business, Science and Innovation, 2021	Catalyst Fund	A	Business, Science and Innovation	This appropriation is limited to grants to support international science partnerships.	E	2021	2022	36501000
1.0	00011859-2021-E	Contract Management: Research Contract Management Business, Science and Innovation, 2021	Contract Management: Research Contract Management	A	Business, Science and Innovation	This category is limited to the selection of organisations and/or individuals to either provide research, science and technology related outputs, or manage and award research, science and technology grants; and to negotiate, manage and monitor appropriate contracts related to those outputs or awards.	E	2021	2022	10673000
1.0	00013062-2021-E	COVID-19: AgResearch Lincoln Facility Development Business, Science and Innovation, 2021	COVID-19: AgResearch Lincoln Facility Development	A	Business, Science and Innovation	This appropriation is limited to capital expenditure to support the AgResearch Lincoln Facility Development.	E	2021	2022	15000000
1.0	00011820-2021-E	Endeavour Fund Business, Science and Innovation, 2021	Endeavour Fund	A	Business, Science and Innovation	This appropriation is limited to research, science or technology, and related activities that have the potential for excellence and long-term impact for New Zealand’s economy, society or environment.	E	2021	2022	227665000
1.0	00011824-2021-E	Health Research Fund Business, Science and Innovation, 2021	Health Research Fund	A	Business, Science and Innovation	This appropriation is limited to research and research applications with the primary purpose of improving the health and well-being of New Zealanders.	E	2021	2022	117489000
1.0	00000098-2021-E	International Energy Agency Contribution Business, Science and Innovation, 2021	International Energy Agency Contribution	A	Business, Science and Innovation	This appropriation is limited to contributions towards the cost of membership fees to the International Energy Agency, and energy-related research and policy development undertaken by the International Energy Agency.	E	2021	2022	248000
1.0	00000748-2021-E	Marsden Fund Business, Science and Innovation, 2021	Marsden Fund	A	Business, Science and Innovation	This appropriation is limited to excellent investigator-led research.	E	2021	2022	78545000
1.0	00000745-2021-E	National Measurement Standards Business, Science and Innovation, 2021	National Measurement Standards	A	Business, Science and Innovation	This appropriation is limited to providing specified standards to satisfy the needs for traceable physical measurement in New Zealand.	E	2021	2022	8567000
1.0	00012500-2021-E	National Science Challenges Business, Science and Innovation, 2021	National Science Challenges	A	Business, Science and Innovation	This appropriation is limited to strategic, collaborative mission-led research programmes to find innovative solutions to fundamental issues and opportunities facing New Zealand.	E	2021	2022	97062000
1.0	00011823-2021-E	Partnered Research Fund Business, Science and Innovation, 2021	Partnered Research Fund	A	Business, Science and Innovation	This appropriation is limited to the co-funding of research commissioned by users, and the application of research by users.	E	2021	2022	28656000
1.0	00011929-2021-E	Regional Research Institutes Business, Science and Innovation, 2021	Regional Research Institutes	A	Business, Science and Innovation	This appropriation is limited to the establishment of and contribution to the operation of Regional Research Institutes.	E	2021	2022	8522000
1.0	00010825-2021-E	Repayable Grants for Start-Ups Business, Science and Innovation, 2021	Repayable Grants for Start-Ups	A	Business, Science and Innovation	This appropriation is limited to funding for early stage businesses and development of business incubators and accelerators.	E	2021	2022	20746000
1.0	00013092-2021-E	Strategic Science Investment Fund: Strategic Science Investment Fund - Capital for Infrastructure Business, Science and Innovation, 2021	Strategic Science Investment Fund: Strategic Science Investment Fund - Capital for Infrastructure	A	Business, Science and Innovation	This category is limited to providing capital to entities owned or controlled by the Crown for the purchase and development of national-scale science infrastructure.	E	2021	2022	1000000
1.0	00011815-2021-E	Strategic Science Investment Fund: Strategic Science Investment Fund - Infrastructure Business, Science and Innovation, 2021	Strategic Science Investment Fund: Strategic Science Investment Fund - Infrastructure	A	Business, Science and Innovation	This category is limited to funding that provides access to research technology, facilities, infrastructure, collections and databases, and associated support services.	E	2021	2022	72668000
1.0	00011814-2021-E	Strategic Science Investment Fund: Strategic Science Investment Fund - Programmes Business, Science and Innovation, 2021	Strategic Science Investment Fund: Strategic Science Investment Fund - Programmes	A	Business, Science and Innovation	This category is limited to funding for research organisations to undertake longer-term programmes of mission-led research.	E	2021	2022	266877000
1.0	00011811-2021-E	Talent and Science Promotion: Fellowships for Excellence Business, Science and Innovation, 2021	Talent and Science Promotion: Fellowships for Excellence	A	Business, Science and Innovation	This category is limited to encouraging the career development of the country's talented early and mid-career researchers.	E	2021	2022	10570000
1.0	00011812-2021-E	Talent and Science Promotion: Royal Society of New Zealand Business, Science and Innovation, 2021	Talent and Science Promotion: Royal Society of New Zealand	A	Business, Science and Innovation	This category is limited to an annual grant to the Royal Society of New Zealand to contribute towards the Society's aims and functions under the Royal Society of New Zealand Act 1997 to promote and advance science and technology.	E	2021	2022	500000
1.0	00011809-2021-E	Talent and Science Promotion: Science in Society Business, Science and Innovation, 2021	Talent and Science Promotion: Science in Society	A	Business, Science and Innovation	This category is limited to approaches that enhance and enable better engagement of New Zealanders with science and technology.	E	2021	2022	12349000
1.0	00011810-2021-E	Talent and Science Promotion: Vision Mātauranga Capability Fund Business, Science and Innovation, 2021	Talent and Science Promotion: Vision Mātauranga Capability Fund	A	Business, Science and Innovation	This category is limited to the development of skilled people and organisations undertaking research that supports the four themes of Vision Matauranga; indigenous innovation, environmental sustainability, health and social well- being, and exploring indigenous knowledge.	E	2021	2022	5982000
1.0	00012053-2021-E	Targeted Business Research and Development Funding Business, Science and Innovation, 2021	Targeted Business Research and Development Funding	A	Business, Science and Innovation	This appropriation is limited to co-funding for private businesses to undertake research and development projects and for funding students to work in research and development active businesses.	E	2021	2022	37500000
1.0	00013118-2021-E	Transitional Support to Research and Development Performing Businesses Business, Science and Innovation, 2021	Transitional Support to Research and Development Performing Businesses	A	Business, Science and Innovation	This appropriation is limited to providing a temporary transitional support payment to former recipients of the Research and Development Growth Grant to support them to transition to the Research & Development Tax Incentive.	E	2021	2022	9500000
1.0	00013124-2021-E	R&D Tax Incentive Revenue, 2021	R&D Tax Incentive	A	Revenue	This appropriation is limited to providing an R&D tax credit to eligible R&D performing businesses.	E	2021	2022	453500000
1.0	00010105-2021-E	Centres of Research Excellence Tertiary Education, 2021	Centres of Research Excellence	A	Tertiary Education	This appropriation is limited to the purchase of cooperative and collaborative tertiary research in areas of research strength in the tertiary education sector through the contestable Centres of Research Excellence Fund.	E	2021	2022	49800000
